Typical Measured Spectrum of Semrock NF03-405/488/561/635E Optical Filter       	
"For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited."	
"For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. "	
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)	
572	0.95201
572.2	0.94853
572.4	0.94351
572.6	0.94174
572.8	0.944
573	0.94834
573.2	0.95244
573.4	0.95443
573.6	0.95396
573.8	0.95167
574	0.94945
574.2	0.94769
574.4	0.9488
574.6	0.95065
574.8	0.95401
575	0.95717
575.2	0.95919
575.4	0.95915
575.6	0.95751
575.8	0.95389
576	0.9507
576.2	0.94706
576.4	0.94522
576.6	0.945
576.8	0.94683
577	0.94888
577.2	0.9522
577.4	0.95537
577.6	0.95776
577.8	0.95856
578	0.9578
578.2	0.95655
578.4	0.95376
578.6	0.95157
578.8	0.95025
579	0.94924
579.2	0.94982
579.4	0.95188
579.6	0.95381
579.8	0.95707
580	0.9591
580.2	0.96075
580.4	0.96091
580.6	0.95987
580.8	0.95787
581	0.95548
581.2	0.95279
581.4	0.95048
581.6	0.94896
581.8	0.94856
582	0.94919
582.2	0.95076
582.4	0.95258
582.6	0.95517
582.8	0.95799
583	0.95933
583.2	0.96076
583.4	0.9612
583.6	0.96104
583.8	0.96043
584	0.95933
584.2	0.95851
584.4	0.95798
584.6	0.95808
584.8	0.95896
585	0.95952
585.2	0.96062
585.4	0.96149
585.6	0.96287
585.8	0.9635
586	0.96365
586.2	0.96274
586.4	0.96166
586.6	0.96044
586.8	0.95932
587	0.95811
587.2	0.95731
587.4	0.9565
587.6	0.95647
587.8	0.95662
588	0.95696
588.2	0.95739
588.4	0.95768
588.6	0.95708
588.8	0.95697
589	0.95644
589.2	0.95565
589.4	0.95499
589.6	0.95397
589.8	0.95359
590	0.95345
590.2	0.95319
590.4	0.95316
590.6	0.95341
590.8	0.95373
591	0.95349
591.2	0.95377
591.4	0.95347
591.6	0.95269
591.8	0.95233
592	0.95179
592.2	0.9514
592.4	0.95139
592.6	0.95165
592.8	0.95289
593	0.95383
593.2	0.95617
593.4	0.95811
593.6	0.95991
593.8	0.96174
594	0.96299
594.2	0.96384
594.4	0.96359
594.6	0.96334
594.8	0.96247
595	0.96135
595.2	0.95998
595.4	0.95869
595.6	0.95772
595.8	0.95707
596	0.95725
596.2	0.95749
596.4	0.9587
596.6	0.95964
596.8	0.96132
597	0.96128
597.2	0.96258
