Typical Measured Spectrum of Semrock Di03-R405/488/532/635 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)

517.8	0.97009
518.0	0.97041
518.2	0.97037
518.4	0.96856
518.6	0.9684
518.8	0.9678
519.0	0.96857
519.2	0.96626
519.4	0.96538
519.6	0.9649
519.8	0.96629
520.0	0.96442
520.2	0.96335
520.4	0.96341
520.6	0.96165
520.8	0.96017
521.0	0.95994
521.2	0.96005
521.4	0.95949
521.6	0.95894
521.8	0.95565
522.0	0.95457
522.2	0.9556
522.4	0.95524
522.6	0.95461
522.8	0.95278
523.0	0.9536
523.2	0.95485
523.4	0.95456
523.6	0.95262
523.8	0.95107
524.0	0.94573
524.2	0.93738
524.4	0.92618
524.6	0.90997
524.8	0.88778
525.0	0.85909
525.2	0.82379
525.4	0.78391
525.6	0.73701
525.8	0.68538
526.0	0.62987
526.2	0.57173
526.4	0.51226
526.6	0.45227
526.8	0.39464
527.0	0.33864
527.2	0.2866
527.4	0.23961
527.6	0.19862
527.8	0.16246
528.0	0.1323
528.2	0.10759
528.4	0.08761
528.6	0.07175
528.8	0.05925
529.0	0.04939
529.2	0.04172
529.4	0.03564
529.6	0.03049
529.8	0.02632
530.0	0.02315
530.2	0.02071
530.4	0.01864
530.6	0.01694
530.8	0.01559
531.0	0.01443
531.2	0.01346
531.4	0.01264
531.6	0.01195
531.8	0.01143
532.0	0.01099
532.2	0.01062
532.4	0.01038
532.6	0.0102
532.8	0.01004
533.0	0.01001
533.2	0.00999
533.4	0.01008
533.6	0.01022
533.8	0.01046
534.0	0.0107
534.2	0.01103
534.4	0.01148
534.6	0.01206
534.8	0.01267
535.0	0.01352
535.2	0.01437
535.4	0.01546
535.6	0.01664
535.8	0.01813
536.0	0.01984
536.2	0.02191
536.4	0.02432
536.6	0.02716
536.8	0.03053
537.0	0.03455
537.2	0.03943
537.4	0.04531
537.6	0.0523
537.8	0.06071
538.0	0.07077
538.2	0.08266
538.4	0.09683
538.6	0.11357
538.8	0.13312
539.0	0.15533
539.2	0.18037
539.4	0.20784
539.6	0.2371
539.8	0.26771
540.0	0.30077
540.2	0.33045
540.4	0.36
540.6	0.3881
540.8	0.41296
541.0	0.43458
541.2	0.4526
541.4	0.46628
541.6	0.47703
541.8	0.48697
542.0	0.49394
542.2	0.49916
542.4	0.50295
542.6	0.50705
542.8	0.51186
543.0	0.51615
543.2	0.52255
543.4	0.53179
543.6	0.54506
543.8	0.56053
544.0	0.58215
544.2	0.6074
544.4	0.63658
544.6	0.67212
544.8	0.71003
545.0	0.75015
545.2	0.79164
545.4	0.82986
545.6	0.86505
545.8	0.89579
546.0	0.92083
546.2	0.93917
546.4	0.95382
546.6	0.96066
546.8	0.9632
547.0	0.96256
547.2	0.96171
547.4	0.9606
547.6	0.95889
547.8	0.95653
548.0	0.95575
548.2	0.95674
548.4	0.95571
548.6	0.95769
548.8	0.95831
549.0	0.95773
549.2	0.95678
549.4	0.95846
549.6	0.9594
549.8	0.95958
550.0	0.96231
550.2	0.96377
550.4	0.96604
550.6	0.96586
550.8	0.96707
551.0	0.96805
551.2	0.96927
551.4	0.97002
551.6	0.97072
551.8	0.97084
552.0	0.97251
552.2	0.97088
552.4	0.96896
552.6	0.96743
552.8	0.966
553.0	0.96679
553.2	0.96351
553.4	0.96307
553.6	0.96238
553.8	0.96257
554.0	0.96099
554.2	0.96043
554.4	0.96104
554.6	0.96149
554.8	0.9603
555.0	0.96254
555.2	0.96254
555.4	0.96494
555.6	0.96749
555.8	0.96917
556.0	0.97078
556.2	0.97019
556.4	0.97178
556.6	0.9715
556.8	0.9703
557.0	0.96896
557.2	0.96802
557.4	0.96646
557.6	0.96656
557.8	0.96413
558.0	0.96238
558.2	0.96172
558.4	0.95849
558.6	0.95735
558.8	0.95657
559.0	0.95398
559.2	0.95305
559.4	0.95369
559.6	0.95366
559.8	0.95396
560.0	0.9543
560.2	0.9567
560.4	0.95805
560.6	0.96131
